position,club,points,expenditure_m,season
13,NA,42,0,2017/18
14,NA,41,0,2017/18
15,NA,40,0,2017/18
16,NA,37,0,2017/18
17,NA,36,0,2017/18
18,NA,33,0,2017/18
19,NA,33,0,2017/18
20,NA,31,0,2017/18
1,NA,98,0,2018/19
2,NA,97,0,2018/19
3,NA,72,0,2018/19
4,NA,71,0,2018/19
5,NA,70,0,2018/19
6,NA,66,0,2018/19
7,NA,57,0,2018/19
8,NA,54,0,2018/19
9,NA,52,0,2018/19
10,NA,52,0,2018/19
11,NA,50,0,2018/19
12,NA,49,0,2018/19
13,NA,45,0,2018/19
14,NA,45,0,2018/19
15,NA,40,0,2018/19
16,NA,39,0,2018/19
17,NA,36,0,2018/19
18,NA,34,0,2018/19
19,NA,26,0,2018/19
20,NA,16,0,2018/19
1,NA,99,0,2019/20
2,NA,81,0,2019/20
3,NA,66,0,2019/20
4,NA,66,0,2019/20
5,NA,62,0,2019/20
6,NA,59,0,2019/20
7,NA,59,0,2019/20
8,NA,56,0,2019/20
9,NA,54,0,2019/20
10,NA,54,0,2019/20
11,NA,52,0,2019/20
12,NA,49,0,2019/20
13,NA,44,0,2019/20
14,NA,43,0,2019/20
15,NA,41,0,2019/20
16,NA,39,0,2019/20
17,NA,35,0,2019/20
18,NA,34,0,2019/20
19,NA,34,0,2019/20
20,NA,21,0,2019/20
1,NA,86,0,2020/21
2,NA,74,0,2020/21
3,NA,69,0,2020/21
4,NA,67,0,2020/21
5,NA,66,0,2020/21
6,NA,65,0,2020/21
7,NA,62,0,2020/21
8,NA,61,0,2020/21
9,NA,59,0,2020/21
10,NA,59,0,2020/21
11,NA,55,0,2020/21
12,NA,45,0,2020/21
13,NA,45,0,2020/21
14,NA,44,0,2020/21
15,NA,43,0,2020/21
16,NA,41,0,2020/21
17,NA,39,0,2020/21
18,NA,28,0,2020/21
19,NA,26,0,2020/21
20,NA,23,0,2020/21
1,NA,93,0,2021/22
2,NA,92,0,2021/22
3,NA,74,0,2021/22
4,NA,71,0,2021/22
5,NA,69,0,2021/22
6,NA,58,0,2021/22
7,NA,56,0,2021/22
8,NA,52,0,2021/22
9,NA,51,0,2021/22
10,NA,51,0,2021/22
11,NA,49,0,2021/22
12,NA,48,0,2021/22
13,NA,46,0,2021/22
14,NA,45,0,2021/22
15,NA,40,0,2021/22
16,NA,39,0,2021/22
17,NA,38,0,2021/22
18,NA,35,0,2021/22
19,NA,23,0,2021/22
20,NA,22,0,2021/22
1,NA,89,0,2022/23
2,NA,84,0,2022/23
3,NA,75,0,2022/23
4,NA,71,0,2022/23
5,NA,67,0,2022/23
6,NA,62,0,2022/23
7,NA,61,0,2022/23
8,NA,60,0,2022/23
9,NA,59,0,2022/23
10,NA,52,0,2022/23
11,NA,45,0,2022/23
12,NA,44,0,2022/23
13,NA,41,0,2022/23
14,NA,40,0,2022/23
15,NA,39,0,2022/23
16,NA,38,0,2022/23
17,NA,36,0,2022/23
18,NA,34,0,2022/23
19,NA,31,0,2022/23
20,NA,25,0,2022/23
1,NA,91,0,2023/24
2,NA,89,0,2023/24
3,NA,82,0,2023/24
4,NA,68,0,2023/24
5,NA,66,0,2023/24
6,NA,63,0,2023/24
7,NA,60,0,2023/24
8,NA,60,0,2023/24
9,NA,52,0,2023/24
10,NA,49,0,2023/24
11,NA,48,0,2023/24
12,NA,48,0,2023/24
13,NA,47,0,2023/24
14,NA,46,0,2023/24
15,NA,40,0,2023/24
16,NA,39,0,2023/24
17,NA,32,0,2023/24
18,NA,26,0,2023/24
19,NA,24,0,2023/24
20,NA,16,0,2023/24
1,NA,76,0,2024/25
2,NA,63,0,2024/25
3,NA,57,0,2024/25
4,NA,56,0,2024/25
5,NA,55,0,2024/25
6,NA,54,0,2024/25
7,NA,54,0,2024/25
8,NA,48,0,2024/25
9,NA,48,0,2024/25
10,NA,45,0,2024/25
